,Product_Name,Link,Product_Image,Price,Details
0,FABRIC BELT BAG,https://www.zara.com/in/en/fabric-belt-bag-p16021210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6021/210/719/2/w/448/6021210719_1_1_1.jpg?ts=1692877244813': 'Image 0 of FABRIC BELT BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6021/210/719/2/w/448/6021210719_2_1_1.jpg?ts=1692877244387': 'Image 1 of FABRIC BELT BAG from Zara'}]","₹ 2,590.00","Fabric belt bag. Adjustable strap. Front zip pocket. Zip closure. Height x Length x Width 17,9 x 29,3 x 6 cm. / 7.0 x 11.5 x 2.3″"
1,FABRIC CROSSBODY BAG,https://www.zara.com/in/en/fabric-crossbody-bag-p16020210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6020/210/716/2/w/448/6020210716_1_1_1.jpg?ts=1686314716035': 'Image 0 of FABRIC CROSSBODY BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6020/210/716/2/w/448/6020210716_2_1_1.jpg?ts=1686314714100': 'Image 1 of FABRIC CROSSBODY BAG from Zara'}]","₹ 2,890.00",Fabric crossbody bag. Adjustable fabric crossbody strap. Zip closure.Height x Length x Width 42 x 24 x 15 cm. / 16.5 x 9.4 x 5.9″
2,FABRIC CROSSBODY BAG,https://www.zara.com/in/en/fabric-crossbody-bag-p16701210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6701/210/529/2/w/448/6701210529_1_1_1.jpg?ts=1692877244345': 'Image 0 of FABRIC CROSSBODY BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6701/210/529/2/w/448/6701210529_2_1_1.jpg?ts=1692877244200': 'Image 1 of FABRIC CROSSBODY BAG from Zara'}]","₹ 2,590.00",Fabric crossbody bag. Adjustable fabric crossbody strap. Zip closure.Height x Length x Width 12 x 31 x 12 cm. / 4.7 x 12.2 x 4.7″
4,CROSSBODY PURSE,https://www.zara.com/in/en/crossbody-purse-p16072210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6072/210/719/2/w/448/6072210719_1_1_1.jpg?ts=1692877244495': 'Image 0 of CROSSBODY PURSE from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6072/210/719/2/w/448/6072210719_2_1_1.jpg?ts=1692877245051': 'Image 1 of CROSSBODY PURSE from Zara'}]","₹ 2,290.00",Crossbody bag that converts into a clutch. Interior with several compartments. Detachable chain shoulder strap. Golden metal hardware. Zip closure.Height x Length x Width 14 x 23 x 3 cm. / 5.5 x 9.0 x 1.1″View more
8,CROSSBODY BAG,https://www.zara.com/in/en/crossbody-bag-p16006210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6006/210/800/2/w/448/6006210800_1_1_1.jpg?ts=1692877244799': 'Image 0 of CROSSBODY BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6006/210/800/2/w/448/6006210800_2_1_1.jpg?ts=1692877244300': 'Image 1 of CROSSBODY BAG from Zara'}]","₹ 2,890.00",Crossbody bag with adjustable strap. Lining. Zip closure.Height x Length x Width 17 x 30 x 11 cm. / 6.6 x 11.8 x 4.3″
10,CROCHET BUCKET BAG WITH FRINGING,https://www.zara.com/in/en/crochet-bucket-bag-with-fringing-p16149210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6149/210/800/2/w/448/6149210800_1_1_1.jpg?ts=1692877244950': 'Image 0 of CROCHET BUCKET BAG WITH FRINGING from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6149/210/800/2/w/494/6149210800_2_1_1.jpg?ts=1692877245018': 'Image 1 of CROCHET BUCKET BAG WITH FRINGING from Zara'}]","₹ 4,990.00",Crochet bucket bag with fringing on the sides. Shoulder strap. Magnetic clasp closure. Height x Length x Width 35 x 27 x 11 cm. / 13.7 x 10.6 x 4.3″View more
13,FAUX PEARL SHOULDER BAG,https://www.zara.com/in/en/faux-pearl-shoulder-bag-p16088210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6088/210/910/2/w/448/6088210910_1_1_1.jpg?ts=1692877245309': 'Image 0 of FAUX PEARL SHOULDER BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6088/210/910/2/w/448/6088210910_2_1_1.jpg?ts=1692877245482': 'Image 1 of FAUX PEARL SHOULDER BAG from Zara'}]","₹ 3,290.00",Shoulder bag with faux pearl exterior. Shoulder strap and detachable crossbody strap. Lined interior. Magnetic clasp closure. Height x Length x Width: 22 x 19 x 6.5 cm. / 8.6 x 7.4 x 2.5″View more
69,MINI CITY BAG,https://www.zara.com/in/en/mini-city-bag-p16311910.html,"[{'https://static.zara.net/photos///2023/V/1/1/p/6311/910/003/12/w/448/6311910003_1_1_1.jpg?ts=1672658666297': 'Image 0 of MINI CITY BAG from Zara'}, {'https://static.zara.net/photos///2023/V/1/1/p/6311/910/003/12/w/448/6311910003_6_1_1.jpg?ts=1678354373691': 'Image 1 of MINI CITY BAG from Zara'}]","₹ 2,890.00","Mini city bag with two inner compartments. Inside pocket with zip closure. Tubular handles and adjustable and detachable crossbody strap. Magnetic clasp closure. Height x Length x Width 18,5 x 22 x 10,5 cm. / 7.2 x 8.6 x 4.1″View more"
71,SHIMMERY MINI CITY BAG,https://www.zara.com/in/en/shimmery-mini-city-bag-p16357210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6357/210/604/2/w/448/6357210604_6_1_1.jpg?ts=1684748151252': 'Image 0 of SHIMMERY MINI CITY BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6357/210/604/2/w/448/6357210604_1_1_1.jpg?ts=1684748969046': 'Image 1 of SHIMMERY MINI CITY BAG from Zara'}]","₹ 3,990.00","Mini city bag with rhinestones. Handles and metal chain crossbody strap. Magnetic clasp closure.Height x Length x Width 14,5 x 17 x 7 cm. / 5.7 x 6.6 x 2.7″View more"
72,MOCK CROC TOTE BAG,https://www.zara.com/in/en/mock-croc-tote-bag-p16012110.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6012/110/800/2/w/448/6012110800_1_1_1.jpg?ts=1692187515970': 'Image 0 of MOCK CROC TOTE BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6012/110/800/2/w/448/6012110800_2_1_1.jpg?ts=1692187515330': 'Image 1 of MOCK CROC TOTE BAG from Zara'}]","₹ 3,290.00","Tote bag in embossed animal print fabric. Inside zip pocket. Shoulder straps. Magnetic clasp closure.Height x Length x Width 56,3 x 47 x 14 cm. / 22.1 x 18.5 x 5.5″View more"
73,MOCK CROC MINI TOTE BAG,https://www.zara.com/in/en/mock-croc-mini-tote-bag-p16015110.html,"[{'https://static.zara.net/photos///2023/V/1/1/p/6015/110/800/3/w/448/6015110800_6_1_1.jpg?ts=1673974673278': 'Image 0 of MOCK CROC MINI TOTE BAG from Zara'}, {'https://static.zara.net/photos///2023/V/1/1/p/6015/110/800/3/w/448/6015110800_6_2_1.jpg?ts=1673974673013': 'Image 1 of MOCK CROC MINI TOTE BAG from Zara'}]","₹ 2,890.00",Mini tote bag in embossed animal print fabric. Inside zip pocket. Top handles and detachable and adjustable crossbody strap. Magnetic clasp closure.Height x Length x Width: 23.7 x 28.6 x 12.9 cm. / 9.3 x 11.2 x 5.0″View more
74,FABRIC TOTE BAG,https://www.zara.com/in/en/fabric-tote-bag-p16110210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6110/210/719/2/w/448/6110210719_1_1_1.jpg?ts=1692200336749': 'Image 0 of FABRIC TOTE BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6110/210/719/2/w/448/6110210719_2_1_1.jpg?ts=1692200336740': 'Image 1 of FABRIC TOTE BAG from Zara'}]","₹ 3,290.00",Tote bag in fabric. Handles and detachable crossbody shoulder strap. Zip closure.Height x Length x Width: 26.3 x 31.2 x 12.7 cm. / 10.3 x 12.2 x 5.0″
